"BCODE","BNAME","DCODE","District_Name","Region","County_ID","County_Name","Public/nonpublic","g7_totl","g8_totl","g9_totl","g10_totl","g11_totl","g12_totl","tot_all"
"01175","Ewen-Trout Creek Consolidated School","66045","Ewen-Trout Creek Consolidated School District",1,"66","Ontonagon","Public",30,27,24,19,23,31,154
"05490","West Iron County Middle School","36025","West Iron County Public Schools",2,"36","Iron","Public",85,69,0,0,0,0,154
"03243","Mid Peninsula School","21135","Mid Peninsula School District",3,"21","Delta","Public",22,25,19,20,16,19,121
"08446","Cedarville Middle School","49040","Les Cheneaux Community Schools",4,"49","Mackinac","Public",23,34,0,0,0,0,57
"05545","WEST SIDE CHRISTIAN SCHOOL","41010",NA,5,"04","Alpena","nonpublic",49,39,0,0,0,0,88
"03252","Rogers City High School","71080","Rogers City Area Schools",5,"71","Presque Isle","Public",49,32,60,60,65,60,326
"03568","SPRING VALE ACADEMY","78110",NA,6,"83","Wexford","nonpublic",0,0,7,14,13,17,51
"02378","Marion High School","67050","Marion Public Schools",6,"67","Osceola","Public",49,48,45,51,46,60,299
"02339","Manistee High School","51070","Manistee Area Schools",6,"51","Manistee","Public",0,0,146,140,135,148,569
"04199","West Middle School","28010","Traverse City Area Public Schools",6,"28","Grand Traverse","Public",396,416,2,0,0,0,814
"04366","Washington Gardner Middle School","13010","Albion Public Schools",7,"13","Calhoun","Public",71,90,0,0,0,0,161
"06978","CARDINAL MOONEY CATHOLIC SCH","74050",NA,7,"70","Ottawa","nonpublic",0,0,48,47,47,47,189
"08845","Brandywine Middle School","11210","Brandywine Community Schools",7,"11","Berrien","Public",117,100,0,0,0,0,217
"01792","Hull Middle School","11010","Benton Harbor Area Schools",7,"11","Berrien","Public",133,116,0,0,0,0,249
"02677","New Buffalo Senior High School","11200","New Buffalo Area Schools",7,"11","Berrien","Public",0,0,66,76,77,57,276
"06310","Portland Middle School","34110","Portland Public School District",7,"34","Ionia","Public",156,150,0,0,0,0,306
"02997","Pennfield Middle School","13120","Pennfield Schools",7,"13","Calhoun","Public",165,171,0,0,0,0,336
"04499","White Cloud High School","62090","White Cloud Public Schools",7,"62","Newaygo","Public",0,0,130,76,75,83,364
"04502","White Pigeon Jr/Sr High School","75070","White Pigeon Community Schools",7,"75","St. Joseph","Public",53,82,67,72,53,64,391
"03562","Sparta Middle School","41240","Sparta Area Schools",7,"41","Kent","Public",201,221,0,0,0,0,422
"08331","Black River Public School","70904","Black River Public School",7,"70","Ottawa","Public",85,84,89,79,62,50,449
"00604","Sturgis Middle School","75010","Sturgis Public Schools",7,"75","St. Joseph","Public",223,256,0,0,0,0,479
"00568","Cedar Springs Middle School","41070","Cedar Springs Public Schools",7,"41","Kent","Public",252,257,0,0,0,0,509
